[000141/001000] L_error: 0.1154991686 	 S_error: 0.0512355641 
[000142/001000] L_error: 0.1148805767 	 S_error: 0.0512288697 
[000143/001000] L_error: 0.1142715290 	 S_error: 0.0512295701 
[000144/001000] L_error: 0.1136722565 	 S_error: 0.0512370430 
[000145/001000] L_error: 0.1130827516 	 S_error: 0.0512494557 
[000146/001000] L_error: 0.1125021726 	 S_error: 0.0512515120 
[000147/001000] L_error: 0.1119305193 	 S_error: 0.0512508750 
[000148/001000] L_error: 0.1113686264 	 S_error: 0.0512494110 
[000149/001000] L_error: 0.1108150482 	 S_error: 0.0512468740 
[000150/001000] L_error: 0.1102702767 	 S_error: 0.0512617230 
[000151/001000] L_error: 0.1097350046 	 S_error: 0.0512643456 
[000152/001000] L_error: 0.1092076972 	 S_error: 0.0512468480 
[000153/001000] L_error: 0.1086889431 	 S_error: 0.0512432680 
[000154/001000] L_error: 0.1081787273 	 S_error: 0.0512399822 
[000155/001000] L_error: 0.1076762229 	 S_error: 0.0512295887 
[000156/001000] L_error: 0.1071818843 	 S_error: 0.0512324423 
[000157/001000] L_error: 0.1066951454 	 S_error: 0.0512327477 
[000158/001000] L_error: 0.1062160879 	 S_error: 0.0512345061 
[000159/001000] L_error: 0.1057452261 	 S_error: 0.0512319542 
[000160/001000] L_error: 0.1052813232 	 S_error: 0.0512353927 
[000161/001000] L_error: 0.1048253551 	 S_error: 0.0512270518 
[000162/001000] L_error: 0.1043761149 	 S_error: 0.0512378663 
[000163/001000] L_error: 0.1039349139 	 S_error: 0.0512370653 
[000164/001000] L_error: 0.1034992412 	 S_error: 0.0512316413 
[000165/001000] L_error: 0.1030702963 	 S_error: 0.0512412414 
[000166/001000] L_error: 0.1026487797 	 S_error: 0.0512410291 
[000167/001000] L_error: 0.1022340953 	 S_error: 0.0512328073 
[000168/001000] L_error: 0.1018257737 	 S_error: 0.0512399971 
[000169/001000] L_error: 0.1014235765 	 S_error: 0.0512454733 
[000170/001000] L_error: 0.1010286957 	 S_error: 0.0512408502 
[000171/001000] L_error: 0.1006394550 	 S_error: 0.0512257405 
[000172/001000] L_error: 0.1002558321 	 S_error: 0.0512341931 
[000173/001000] L_error: 0.0998791456 	 S_error: 0.0512406267 
[000174/001000] L_error: 0.0995079875 	 S_error: 0.0512578487 
[000175/001000] L_error: 0.0991427898 	 S_error: 0.0512350015 
[000176/001000] L_error: 0.0987827480 	 S_error: 0.0512494892 
[000177/001000] L_error: 0.0984283164 	 S_error: 0.0512308478 
[000178/001000] L_error: 0.0980800986 	 S_error: 0.0512576178 
[000179/001000] L_error: 0.0977369100 	 S_error: 0.0512696542 
[000180/001000] L_error: 0.0973994583 	 S_error: 0.0512440391 
[000181/001000] L_error: 0.0970672518 	 S_error: 0.0512394235 
[000182/001000] L_error: 0.0967401862 	 S_error: 0.0512309894 
[000183/001000] L_error: 0.0964184925 	 S_error: 0.0512281954 
[000184/001000] L_error: 0.0961016938 	 S_error: 0.0512347147 
[000185/001000] L_error: 0.0957896560 	 S_error: 0.0512311198 
[000186/001000] L_error: 0.0954831094 	 S_error: 0.0512242205 
[000187/001000] L_error: 0.0951814502 	 S_error: 0.0512190871 
[000188/001000] L_error: 0.0948840678 	 S_error: 0.0512144566 
[000189/001000] L_error: 0.0945920646 	 S_error: 0.0512309112 
[000190/001000] L_error: 0.0943043381 	 S_error: 0.0512419418 
[000191/001000] L_error: 0.0940211341 	 S_error: 0.0512341112 
[000192/001000] L_error: 0.0937418491 	 S_error: 0.0512262732 
[000193/001000] L_error: 0.0934675485 	 S_error: 0.0512358882 
[000194/001000] L_error: 0.0931970477 	 S_error: 0.0512448885 
[000195/001000] L_error: 0.0929309502 	 S_error: 0.0512487665 
[000196/001000] L_error: 0.0926693603 	 S_error: 0.0512367785 
[000197/001000] L_error: 0.0924115628 	 S_error: 0.0512458943 
[000198/001000] L_error: 0.0921580419 	 S_error: 0.0512279235 
[000199/001000] L_error: 0.0919084400 	 S_error: 0.0512175635 
[000200/001000] L_error: 0.0916626155 	 S_error: 0.0512221754 
[000201/001000] L_error: 0.0914210826 	 S_error: 0.0512351319 
[000202/001000] L_error: 0.0911830887 	 S_error: 0.0512302704 
[000203/001000] L_error: 0.0909497142 	 S_error: 0.0512314253 
[000204/001000] L_error: 0.0907188058 	 S_error: 0.0512353368 
[000205/001000] L_error: 0.0904922932 	 S_error: 0.0512419418 
[000206/001000] L_error: 0.0902688354 	 S_error: 0.0512434915 
[000207/001000] L_error: 0.0900487974 	 S_error: 0.0512350164 
[000208/001000] L_error: 0.0898325369 	 S_error: 0.0512366854 
[000209/001000] L_error: 0.0896198303 	 S_error: 0.0512236543 
[000210/001000] L_error: 0.0894099176 	 S_error: 0.0512405597 
[000211/001000] L_error: 0.0892036855 	 S_error: 0.0512183234 
[000212/001000] L_error: 0.0890009776 	 S_error: 0.0512351766 
[000213/001000] L_error: 0.0888008624 	 S_error: 0.0512354299 
[000214/001000] L_error: 0.0886042789 	 S_error: 0.0512395687 
[000215/001000] L_error: 0.0884105042 	 S_error: 0.0512490645 
[000216/001000] L_error: 0.0882204026 	 S_error: 0.0512546450 
[000217/001000] L_error: 0.0880329758 	 S_error: 0.0512409844 
[000218/001000] L_error: 0.0878477693 	 S_error: 0.0512285754 
[000219/001000] L_error: 0.0876662061 	 S_error: 0.0512339212 
[000220/001000] L_error: 0.0874873325 	 S_error: 0.0512257963 
[000221/001000] L_error: 0.0873106718 	 S_error: 0.0512326024 
[000222/001000] L_error: 0.0871377736 	 S_error: 0.0512438081 
[000223/001000] L_error: 0.0869668573 	 S_error: 0.0512400307 
[000224/001000] L_error: 0.0867986232 	 S_error: 0.0512463115 
[000225/001000] L_error: 0.0866335481 	 S_error: 0.0512615591 
